height_cm,weight_kg,age,hometown,sport,classification,program
190.5,,38,Charlotte,,,Olympian
175.3,,57,"Aurora, IL",Para-Cycling,,Paralympian
172.7,,,Honolulu,,,Olympian
167.6,,51,"Santa Fe Springs, CA",Softball,,Olympian
182.9,,36,Lake Placid,,,Olympian
188.0,,41,Columbus,Wrestling,,Team USA
177.8,,37,"High Point, NC",,,Olympian
182.9,,33,"Colorado Springs, CO",Track and Field,,Olympian
195.6,,49,Walnut Creek,,,Olympian
180.3,,44,"Grand Rapids, MI",Para Nordic Skiing,,Paralympian
167.6,,28,"Waterford, WI",Shooting,,Olympian
177.8,,54,Avondale,,,Olympian
175.3,,36,"St. Louis, MO",Track and Field,,Olympian
175.3,,18,"Missoula, MT",Para Nordic Skiing,,Team USA
175.3,,42,"Oakland, CA",Rowing,,Olympian
152.4,,,Colorado Springs,,,Olympian
193.0,,28,"Kennett Square, PA",Rowing,,Olympian
160.0,,41,Colorado Springs,Wrestling,,Team USA
180.3,,20,"Simi Valley, CA",,,Team USA
172.7,,28,"Bellwood, IL",Wrestling,,Olympian
195.6,,49,San Diego,,,Team USA
162.6,,44,Laurel,,,Olympian
182.9,,24,"Wake Forest, NC",Golf,,Team USA
157.5,,45,Houston,,,Olympian
165.1,,74,,Table Tennis,,Olympian
180.3,,39,"Lancaster, PA",Baseball,,Team USA
182.9,,29,"Wauconda, IL",Ski Jumping,,Olympian
190.5,,,Osijek,Team Handball,,Olympian
185.4,,37,Wichita,Bowling,,Team USA
182.9,,37,"Keene, NY",Alpine Skiing,,Team USA
165.1,,43,"Pembroke Pines, FL",Para Track and Field,,Paralympian
142.2,,29,"Spring, TX",Gymnastics,,Olympian
165.1,,25,"Coppell, TX",Ice Hockey,,Olympian
195.6,,46,"Santa Barbara, CA",Volleyball,,Olympian
175.3,,36,"Spokane, WA",Triathlon,,Olympian
177.8,,36,"Marysville, MI",Ice Hockey,,Olympian
185.4,,29,Huddinge,Team Handball,,Team USA
182.9,,26,Stockholm,Team Handball,,Team USA
167.6,,26,"Reston, VA",Speedskating,,Olympian
121.9,,31,"Phoenix, AZ",Para Track and Field,,Team USA
180.3,,45,"Deland, FL",Taekwondo,,Team USA
175.3,,39,"Gilbert, AZ",Cycling,,Team USA
175.3,,45,"Syosset, NY",Basketball,,Olympian
167.6,,23,"White Bear Lake, MN",Speedskating,,Olympian
160.0,,22,"Jupiter, FL",Diving,,Team USA
188.0,,25,"The Woodlands, TX",Rugby,,Olympian
188.0,,34,"Winthrop, WA",Cross-Country Skiing,,Olympian
175.3,,36,"Winthrop, WA",Cross-Country Skiing,,Olympian
190.5,,56,"San Antonio, TX",Wheelchair Curling,,Paralympian
162.6,,32,"Richmond, VA",Shooting,,Team USA
185.4,,24,Fresno,,,Olympian
198.1,,24,"Fort Lauderdale, FL",Basketball,,Olympian
167.6,,27,"Longmont, CO",Snowboarding,,Olympian
182.9,,,"Tacoma, WA",Rugby,,Team USA
195.6,,33,"Las Vegas, NV",Baseball,,Team USA
185.4,,50,"Eagle Mountain, UT",Para Track and Field,,Paralympian
182.9,,46,Tampa,,,Olympian
162.6,,40,Stillwater,Wrestling,,Team USA
167.6,,36,Broussard,,,Olympian
182.9,,32,"Blacklick, OH",Track and Field,,Team USA
177.8,,37,"Stillwater, MN",Track and Field,,Olympian
190.5,,54,"Laguna Beach, CA",Volleyball,,Olympian
193.0,,36,"Meridian, ID",Skeleton,,Olympian
170.2,,40,Cypress,,,Olympian
152.4,,33,"New York, N.Y.",Squash,,Team USA
185.4,,28,"Durango, CO",Cycling,,Olympian
165.1,,43,"New York, NY",Equestrian,,Team USA
167.6,,38,,Sailing,,Team USA
170.2,,30,"Plymouth, MN",Taekwondo,,Team USA
185.4,,37,"Ladera Ranch, CA",Ice Hockey,,Olympian
182.9,,30,"Crested Butte, CO",Freestyle Skiing,,Olympian
160.0,,36,"Gig Harbor, WA",Wheelchair Basketball,,Paralympian
182.9,,35,"Colorado Springs, CO",Soccer,,Paralympian
162.6,,27,"Tustin, CA",Gymnastics,,Team USA
167.6,,29,"Cheyenne, Wyo.",Speedskating,,Team USA
160.0,,39,"Frederick, MD , MD",,,Team USA
175.3,,47,"Port Jervis, NY",Softball,,Team USA
190.5,,42,"Oak Lawn, IL",Baseball,,Team USA
160.0,,,Bradenton,,,Team USA
185.4,,37,"Weston, FL",Soccer,,Paralympian
